filename, meanMT, stdMT, meanDistance, stdDistance, errorRate,outlierRate, IDe, meanWidth, meanDist, ID, width, distance,TP 
FLT/P17/fingers/P17F1/P17F1fingersC,2.2657,4.4774,394.4549,2.4796,0.1818,0.0000,6.0110,6.2129,394.4549,4.9896,13.0000,400.0000,2.6531
FLT/P17/fingers/P17F1/P17F1fingersA,1.1397,4.1360,385.5759,4.5988,0.0000,0.0000,4.0190,25.3457,385.5759,3.0032,57.0000,400.0000,3.5263
FLT/P17/fingers/P17F1/P17F1fingersB,2.8201,6.4776,392.2110,5.6284,0.0909,0.0000,5.1768,11.1509,392.2110,3.9832,27.0000,400.0000,1.8357
FLT/P17/fingers/P17F6/P17F6fingersB,0.5858,2.6548,397.1432,7.7903,0.1818,0.0000,5.0360,12.4856,397.1432,3.9832,27.0000,400.0000,8.5971
FLT/P17/fingers/P17F6/P17F6fingersC,1.2319,2.6717,397.0122,2.8423,0.0909,0.0000,6.0299,6.1704,397.0122,4.9896,13.0000,400.0000,4.8948
FLT/P17/fingers/P17F6/P17F6fingersA,0.7985,2.3870,395.7563,9.7182,0.0000,0.0000,4.0481,25.4631,395.7563,3.0032,57.0000,400.0000,5.0693
FLT/P17/trackpad/P17T1/P17T1trackpadC,1.4451,3.1388,395.4813,2.6479,0.0000,0.0000,6.1668,5.5824,395.4813,4.9896,13.0000,400.0000,4.2674
FLT/P17/trackpad/P17T1/P17T1trackpadB,0.8186,1.7115,395.4684,5.1691,0.0000,0.0000,5.4731,9.1084,395.4684,3.9832,27.0000,400.0000,6.6856
FLT/P17/trackpad/P17T1/P17T1trackpadA,1.0745,2.3010,395.1609,8.5017,0.0000,0.0000,4.4986,18.2894,395.1609,3.0032,57.0000,400.0000,4.1869
FLT/P17/trackpad/P17T6/P17T6trackpadA,0.5805,1.2260,388.2458,7.4476,0.0000,0.0000,4.2144,22.1055,388.2458,3.0032,57.0000,400.0000,7.2605
FLT/P17/trackpad/P17T6/P17T6trackpadC,0.7375,1.4569,396.3410,1.5264,0.0000,0.0000,6.5913,4.1535,396.3410,4.9896,13.0000,400.0000,8.9379
FLT/P17/trackpad/P17T6/P17T6trackpadB,0.6381,1.4360,393.4428,3.6423,0.0000,0.0000,5.2170,10.8701,393.4428,3.9832,27.0000,400.0000,8.1760
FLT/P17/trackpad/P17T7/P17T7trackpadA,0.6209,1.8593,393.7281,4.9483,0.0000,0.0000,4.5015,18.1851,393.7281,3.0032,57.0000,400.0000,7.2499
FLT/P17/trackpad/P17T7/P17T7trackpadC,0.7517,1.4850,395.1985,1.1940,0.0000,0.0000,6.2254,5.3533,395.1985,4.9896,13.0000,400.0000,8.2815
FLT/P17/trackpad/P17T7/P17T7trackpadB,0.6555,1.5226,396.1806,3.0088,0.0000,0.0000,5.6257,8.1901,396.1806,3.9832,27.0000,400.0000,8.5828
FLT/P17/trackpad/P17T4/P17T4trackpadA,0.6722,1.4935,391.4035,9.1817,0.0000,0.0000,4.0323,25.4779,391.4035,3.0032,57.0000,400.0000,5.9989
FLT/P17/trackpad/P17T4/P17T4trackpadC,0.7515,1.4687,395.5747,1.7151,0.0000,0.0000,6.7006,3.8400,395.5747,4.9896,13.0000,400.0000,8.9158
FLT/P17/trackpad/P17T4/P17T4trackpadB,0.6737,1.6027,398.0434,6.2764,0.0000,0.0000,4.8525,14.2721,398.0434,3.9832,27.0000,400.0000,7.2024
FLT/P17/trackpad/P17T8/P17T8trackpadB,0.7222,1.5500,393.3125,5.5397,0.0000,0.0000,4.9343,13.2989,393.3125,3.9832,27.0000,400.0000,6.8324
FLT/P17/trackpad/P17T8/P17T8trackpadA,0.5931,1.3839,392.2813,7.4346,0.0000,0.0000,4.5934,16.9524,392.2813,3.0032,57.0000,400.0000,7.7448
FLT/P17/trackpad/P17T8/P17T8trackpadC,1.0185,1.8622,594.4491,2.2822,0.0000,0.0000,7.0683,4.4625,594.4491,5.5593,13.0000,600.0000,6.9396
FLT/P17/trackpad/P17T2/P17T2trackpadA,0.6445,1.4221,390.1959,6.4842,0.0000,0.0000,3.7795,30.6458,390.1959,3.0032,57.0000,400.0000,5.8638
FLT/P17/trackpad/P17T2/P17T2trackpadB,0.7401,1.6347,396.5778,4.6828,0.0000,0.0000,5.2061,11.0422,396.5778,3.9832,27.0000,400.0000,7.0344
FLT/P17/trackpad/P17T2/P17T2trackpadC,0.9719,2.0108,396.7785,2.9628,0.0000,0.0000,6.2797,5.1737,396.7785,4.9896,13.0000,400.0000,6.4612
FLT/P17/trackpad/P17T3/P17T3trackpadA,0.6180,1.4597,388.2915,8.2917,0.0000,0.0000,4.2166,22.0720,388.2915,3.0032,57.0000,400.0000,6.8230
FLT/P17/trackpad/P17T3/P17T3trackpadC,1.2295,2.3909,594.2191,2.0196,0.0000,0.0000,8.3264,1.8570,594.2191,5.5593,13.0000,600.0000,6.7719
FLT/P17/trackpad/P17T3/P17T3trackpadB,0.7743,1.8448,398.3511,3.9839,0.0000,0.0000,5.3436,10.0577,398.3511,3.9832,27.0000,400.0000,6.9015
FLT/P17/trackpad/P17T5/P17T5trackpadB,0.6797,1.5021,395.4740,3.9186,0.0000,0.0000,5.4500,9.2588,395.4740,3.9832,27.0000,400.0000,8.0179
FLT/P17/trackpad/P17T5/P17T5trackpadC,0.9271,1.6435,394.8728,2.2806,0.0909,0.0000,6.2552,5.2382,394.8728,4.9896,13.0000,400.0000,6.7470
FLT/P17/trackpad/P17T5/P17T5trackpadA,0.6221,1.4163,389.8272,7.3033,0.0000,0.0000,3.9770,26.4347,389.8272,3.0032,57.0000,400.0000,6.3929
FLT/P9/fingers/P9F6/P9F6fingersC,3.4633,5.3136,396.8515,2.4499,0.1818,0.0000,5.9435,6.5551,396.8515,4.9896,13.0000,400.0000,1.7161
FLT/P9/fingers/P9F6/P9F6fingersB,1.0863,2.3572,393.3243,6.1144,0.0909,0.0000,4.8991,13.6394,393.3243,3.9832,27.0000,400.0000,4.5099
FLT/P9/fingers/P9F6/P9F6fingersA,0.5899,2.6769,395.7775,15.9871,0.0909,0.0000,4.4426,19.0787,395.7775,3.0032,57.0000,400.0000,7.5311
FLT/P9/fingers/P9F2/P9F2fingersC,5.0946,7.7258,396.0928,4.5756,0.2727,0.0000,5.9231,6.6371,396.0928,4.9896,13.0000,400.0000,1.1626
FLT/P9/fingers/P9F2/P9F2fingersB,1.3941,4.4615,393.6770,8.3111,0.1818,0.0000,6.2695,5.1701,393.6770,3.9832,27.0000,400.0000,4.4971
FLT/P9/fingers/P9F2/P9F2fingersA,1.4617,4.4846,394.3553,14.2186,0.0000,0.0000,3.7921,30.6819,394.3553,3.0032,57.0000,400.0000,2.5943
