Filename, TP, IP, Lin1, Lin2, ErrorRate, outlierRate, meanMovetime, meanIDe
Zhen-data/sensitivity-test/x200y150,3.6333,1.9620,-0.9075,0.5097,0.1333,0.0267,1.3222,4.3719 
Zhen-data/sensitivity-test/x200y300,3.5125,2.3782,-0.5327,0.4205,0.0933,0.0000,1.2956,4.3423 
Zhen-data/sensitivity-test/x300y250,4.0002,2.9355,-0.3675,0.3407,0.0800,0.0400,1.1725,4.5208 
Zhen-data/sensitivity-test/x250y150,3.6591,2.6908,-0.3819,0.3716,0.1067,0.0133,1.2819,4.4763 
Zhen-data/sensitivity-test/x350y200,3.9772,3.2951,-0.1991,0.3035,0.0533,0.0133,1.1014,4.2928 
Zhen-data/sensitivity-test/x150y250,3.7001,2.5122,-0.4862,0.3981,0.1600,0.0267,1.2725,4.4399 
Zhen-data/sensitivity-test/x250y250,3.5592,2.2593,-0.6086,0.4426,0.1600,0.0267,1.2692,4.2465 
Zhen-data/sensitivity-test/x150y150,3.5767,2.8854,-0.2551,0.3466,0.1333,0.0400,1.2394,4.3028 
Zhen-data/sensitivity-test/x200y250,3.5502,1.7846,-1.1195,0.5604,0.0800,0.0000,1.3691,4.4376 
Zhen-data/sensitivity-test/x250y200,3.7612,3.0245,-0.2508,0.3306,0.0933,0.0133,1.1976,4.3831 
Zhen-data/sensitivity-test/x200y200,3.4956,2.6569,-0.3468,0.3764,0.0800,0.0000,1.2789,4.3118 
Zhen-data/Fatigue-test/No3,3.9789,-0.3246,20.4896,-3.0804,0.0533,0.0000,1.7383,6.0880 
Zhen-data/Fatigue-test/No6,7.9320,5.8534,-0.1378,0.1708,0.0533,0.0133,0.4240,3.2973 
Zhen-data/Fatigue-test/No9,7.2042,4.5554,-0.4228,0.2195,0.1333,0.0133,0.8033,5.5848 
Zhen-data/Fatigue-test/No7,8.2875,5.8359,-0.1963,0.1714,0.0533,0.0133,0.5702,4.4773 
Zhen-data/Fatigue-test/No8,8.3429,7.6882,-0.0354,0.1301,0.0800,0.0133,0.4248,3.5369 
Zhen-data/Fatigue-test/No1,7.4909,6.0876,-0.1286,0.1643,0.0800,0.0133,0.7063,5.0863 
Zhen-data/Fatigue-test/No2,8.3658,10.5082,0.0813,0.0952,0.0133,0.0000,0.3965,3.3077 
Zhen-data/Fatigue-test/No5,7.7842,3.5078,-0.7043,0.2851,0.0400,0.0000,0.6501,4.7506 
Zhen-data/Fatigue-test/No10,7.0010,5.3511,-0.1869,0.1869,0.0800,0.0000,0.7614,5.0762 
Zhen-data/Fatigue-test/No4,8.0588,6.5008,-0.0852,0.1538,0.0933,0.0000,0.3935,3.1194 
Zhen-data/CraigData/TestS05B6T1,6.0871,1.6369,-2.0710,0.6109,0.0933,0.0133,1.2880,5.4353 
Zhen-data/CraigData/TestS05B3T1,2.2856,3.4859,0.7193,0.2869,0.0667,0.0133,2.0093,4.5608 
Zhen-data/CraigData/TestS10B6T2,3.1505,2.2597,-0.5421,0.4425,0.0267,0.0000,1.5879,4.8202 
Zhen-data/CraigData/TestS10B3T1,4.0044,2.3364,-0.9378,0.4280,0.0933,0.0133,1.3985,5.4536 
Zhen-data/CraigData/TestS10B6T1,4.1104,2.6772,-0.6359,0.3735,0.0800,0.0133,1.2799,5.1291 
Zhen-data/CraigData/TestS05B3T2,3.6710,4.3662,0.2628,0.2290,0.1600,0.0133,1.5410,5.5544 
Zhen-data/CraigData/TestS10B3T2,3.0200,-14.7031,1.9703,-0.0680,0.0933,0.0267,1.6358,4.8487 
Zhen-data/CraigData/TestS05B6T2,4.0785,2.0532,-1.0107,0.4870,0.0800,0.0133,1.3805,4.8781 
/ZL,1.9046,-18.0736,2.7297,-0.0553,0.1333,0.0000,2.5212,4.6776 
/divya714,2.9314,2.3544,-0.4003,0.4247,0.0667,0.0400,1.7761,5.1127 
/11p32,3.4184,2.3545,-0.7741,0.4247,0.1467,0.0133,1.8779,6.2213 
/P33FR21,3.6024,-28.7050,1.4262,-0.0348,0.0400,0.0267,1.2937,4.4787 
/P33FA1,2.0232,0.4920,-7.7059,2.0323,0.4267,0.0000,2.9062,5.2952 
/divya721,3.5664,-14.1865,1.5090,-0.0705,0.4000,0.0133,1.2823,4.4522 
/divya712,4.2665,2.5167,-0.7542,0.3973,0.2000,0.0000,1.5364,5.5375 
/P34M3,4.3298,-1.3345,4.8984,-0.7494,0.0667,0.0133,1.3476,4.7431 
/julian3,5.6238,3.4232,-0.5359,0.2921,0.1600,0.0133,1.2219,5.6850 
/asdasdasW,3.8729,14.0803,0.8013,0.0710,0.1733,0.0400,1.1218,4.2352 
/P34M2,5.4427,-2.8245,2.9783,-0.3540,0.2400,0.0133,1.1262,5.5127 
/P33FA21,5.2238,1.4114,-2.2769,0.7085,0.3467,0.0133,0.9474,4.3836 
/11p21,2.1634,0.6166,-6.2267,1.6217,0.4133,0.0000,2.8857,5.5411 
/P33FR2,3.5462,-4.9521,2.1668,-0.2019,0.1333,0.0400,1.2947,4.3516 
/11p44,3.5960,1.8313,-1.3139,0.5460,0.1867,0.0267,1.5087,5.1507 
/divya734,3.0562,39.7624,1.8797,0.0251,0.1733,0.0400,2.0101,6.0876 
/P31M3,6.6722,-10.8199,1.1840,-0.0924,0.0533,0.0133,0.7565,4.5142 
/P32T1,4.6268,-6.3332,2.2614,-0.1579,0.0800,0.0133,1.3486,5.8502 
/P31FR3,4.1287,2.8504,-0.5069,0.3508,0.1333,0.0267,1.1493,4.7146 
/divya733,3.3862,3.0948,-0.1312,0.3231,0.0933,0.0133,1.6456,5.5068 
/P33M2,5.5373,4.5818,-0.0042,0.2183,0.0533,0.0133,1.1042,5.1054 
